NT08AB0001	NT16AB0001 (99.78%)	NT17AB0001 (99.26%)	NT20ABA0020 (99.78%)
NT08AB3797	NT16AB0252 (100.00%)	NT17AB0218 (98.77%)	NT20ABA3768 (100.00%)
NT08AB3798	NT16AB0251 (98.91%)		NT20ABA3769 (98.91%)
NT08AB3799	NT16AB0250 (99.00%)	NT17AB0213 (100.00%)	NT20ABA3770 (99.00%)
NT08AB3800			
NT08AB3801	NT16AB0249 (100.00%)	NT17AB0212 (100.00%)	NT20ABA3771 (100.00%)
NT08AB3802	NT16AB0248 (99.04%)	NT17AB0211 (97.06%)	NT20ABA3772 (99.04%)
NT08AB3803	NT16AB0247 (100.00%)	NT17AB0210 (100.00%)	NT20ABA3773 (100.00%)
NT08AB3804	NT16AB0246 (100.00%)	NT17AB0209 (99.60%)	NT20ABA3774 (100.00%)
NT08AB3805	NT16AB0245 (99.53%)	NT17AB0208 (98.13%)	NT20ABA3775 (99.53%)
NT08AB3806	NT16AB0244 (98.80%)		NT20ABA3776 (98.80%)
NT08AB3807	NT16AB0243 (99.56%)	NT17AB3144 (99.56%)	NT20ABA3777 (99.56%)
NT08AB3808	NT16AB0241 (98.75%)	NT17AB3147 (97.50%)	NT20ABA3779 (98.75%)
NT08AB3809	NT16AB0240 (99.50%)	NT17AB3148 (97.99%)	NT20ABA3780 (100.00%)
NT08AB3810	NT16AB0239 (100.00%)	NT17AB3149 (99.72%)	NT20ABA3781 (100.00%)
NT08AB3811	NT16AB0238 (98.64%)	NT17AB3150 (76.87%)	NT20ABA3782 (98.64%)
NT08AB3812	NT16AB0237 (99.84%)	NT17AB3151 (99.68%)	NT20ABA3784 (100.00%)
NT08AB3814			
NT08AB3815			
NT08AB3816			
NT08AB3817			
NT08AB3818		NT17AB3156 (97.78%)	
NT08AB3819	NT16AB0233 (98.92%)		NT20ABA3788 (98.92%)
NT08AB3820	NT16AB0232 (100.00%)		NT20ABA3789 (100.00%)
NT08AB3821	NT16AB0231 (94.12%)		NT20ABA3790 (94.12%)
NT08AB3822		NT17ABA0003 (53.05%)	
NT08AB3823		NT17ABA0004 (70.23%)	
NT08AB3824		NT17ABA0005 (71.55%)	
NT08AB3825		NT17ABA0006 (40.91%)	
NT08AB3826	NT16AB0229 (100.00%)		NT20ABA3792 (100.00%)
NT08AB3827	NT16AB0228 (97.10%)		NT20ABA3793 (97.10%)
NT08AB3828	NT16AB0227 (51.91%)	NT17AB3161 (97.30%)	NT20ABA3794 (51.91%)
NT08AB3829			
NT08AB3830	NT16AB0226 (100.00%)	NT17AB3162 (99.00%)	NT20ABA3795 (100.00%)
NT08AB3831			
NT08AB3832	NT16AB0225 (98.58%)	NT17AB3163 (99.05%)	NT20ABA3796 (98.58%)
NT08AB3833	NT16AB0224 (98.46%)	NT17AB3164 (90.08%)	NT20ABA3797 (98.46%)
NT08AB3834			
NT08AB3835	NT16AB0223 (98.92%)	NT17AB3165 (96.59%)	NT20ABA3798 (98.92%)
NT08AB3836	NT16AB0222 (98.32%)	NT17AB3169 (98.65%)	NT20ABA3800 (98.32%)
NT08AB3837	NT16AB0221 (96.95%)	NT17AB3170 (95.93%)	NT20ABA3799 (96.95%)
NT08AB3838	NT16AB0220 (98.07%)	NT17AB3171 (97.67%)	NT20ABA3801 (98.07%)
NT08AB3840			
NT08AB3841	NT16AB0217 (98.57%)	NT17AB3174 (97.64%)	NT20ABA3804 (98.57%)
NT08AB3842	NT16AB0216 (96.73%)	NT17AB3175 (94.05%)	NT20ABA3805 (96.73%)
NT08AB3843	NT16AB0215 (100.00%)	NT17AB3176 (99.31%)	NT20ABA3806 (100.00%)
NT08AB3844	NT16AB0214 (99.66%)		NT20ABA3807 (99.66%)
NT08AB3845	NT16AB0213 (100.00%)		NT20ABA3808 (100.00%)
NT08AB3846	NT16AB0212 (99.69%)	NT17AB3180 (98.67%)	NT20ABA3809 (99.69%)
NT08AB3847	NT16AB0211 (98.96%)	NT17AB3181 (99.17%)	NT20ABA3810 (98.96%)
NT08AB3848	NT16AB0210 (98.14%)	NT17AB3182 (98.84%)	NT20ABA3811 (98.14%)
NT08AB3849	NT16AB0209 (99.80%)	NT17AB3183 (98.49%)	NT20ABA3812 (99.80%)
NT08AB3850	NT16AB0208 (99.58%)	NT17AB3184 (99.38%)	NT20ABA3813 (99.58%)
NT08AB3851	NT16AB0207 (100.00%)	NT17AB3185 (100.00%)	NT20ABA3814 (100.00%)
NT08AB3852	NT16AB0206 (98.96%)	NT17AB3186 (96.47%)	NT20ABA3815 (98.96%)
NT08AB3853	NT16AB0205 (100.00%)	NT17AB3187 (97.50%)	NT20ABA3816 (100.00%)
NT08AB3854	NT16AB0204 (100.00%)	NT17AB3188 (99.48%)	NT20ABA3817 (100.00%)
NT08AB3855	NT16AB0203 (99.56%)	NT17AB3189 (99.56%)	NT20ABA3818 (99.56%)
NT08AB3856	NT16AB0202 (99.39%)	NT17AB3190 (97.25%)	NT20ABA3819 (99.39%)
NT08AB3857	NT16AB0201 (100.00%)	NT17AB3194 (100.00%)	NT20ABA3820 (100.00%)
NT08AB3858	NT16AB0200 (98.23%)		NT20ABA3821 (96.36%)
NT08AB3859	NT16AB0199 (100.00%)	NT17AB3195 (97.70%)	NT20ABA3822 (100.00%)
NT08AB3860	NT16AB0198 (99.08%)	NT17AB3196 (99.69%)	NT20ABA3823 (99.08%)
NT08AB3861	NT16AB0197 (99.50%)	NT17AB3197 (99.00%)	NT20ABA3824 (99.50%)
NT08AB3862	NT16AB0196 (100.00%)	NT17AB3198 (99.79%)	NT20ABA3825 (100.00%)
NT08AB3863	NT16AB0195 (99.47%)	NT17AB3199 (98.77%)	NT20ABA3826 (99.65%)
NT08AB3864	NT16AB0192 (69.44%)	NT17AB3200 (99.00%)	NT20ABA3827 (69.44%)
NT08AB3865	NT16AB0191 (100.00%)	NT17AB3201 (100.00%)	NT20ABA3828 (100.00%)
NT08AB3866	NT16AB0190 (100.00%)		NT20ABA3829 (100.00%)
NT08AB3867	NT16AB0189 (99.82%)	NT17AB3219 (99.30%)	NT20ABA3830 (99.82%)
NT08AB3868	NT16AB0188 (100.00%)	NT17AB3220 (98.18%)	NT20ABA3831 (100.00%)
NT08AB3869	NT16AB0187 (99.91%)	NT17AB3221 (99.66%)	NT20ABA3832 (99.91%)
NT08AB3870	NT16AB0186 (100.00%)	NT17AB3222 (98.43%)	NT20ABA3833 (100.00%)
NT08AB3871	NT16AB0185 (100.00%)	NT17AB3223 (99.53%)	NT20ABA3834 (100.00%)
NT08AB3872	NT16AB0184 (99.59%)	NT17AB3224 (99.18%)	NT20ABA3835 (99.59%)
NT08AB3873	NT16AB0183 (98.92%)	NT17AB3225 (98.88%)	NT20ABA3836 (98.92%)
NT08AB3874	NT16AB0182 (99.27%)	NT17AB3227 (91.91%)	NT20ABA3837 (99.27%)
NT08AB3875	NT16AB0181 (97.21%)	NT17AB3228 (97.90%)	NT20ABA3838 (97.21%)
NT08AB3876	NT16AB0180 (99.85%)	NT17AB3229 (99.69%)	NT20ABA3839 (99.85%)
NT08AB3877		NT17AB3230 (97.30%)	NT20ABA3841 (97.30%)
NT08AB3878	NT16AB0179 (99.48%)	NT17AB3231 (99.48%)	NT20ABA3840 (99.48%)
NT08AB3879	NT16AB0178 (97.87%)	NT17AB3232 (96.17%)	NT20ABA3843 (97.87%)
NT08AB3880	NT16AB0177 (99.69%)	NT17AB3233 (99.69%)	NT20ABA3842 (99.69%)
NT08AB3881	NT16AB0176 (99.77%)	NT17AB3234 (99.43%)	NT20ABA3844 (99.77%)
NT08AB3882	NT16AB0175 (99.15%)	NT17AB3235 (100.00%)	NT20ABA3845 (99.15%)
NT08AB3883	NT16AB0174 (100.00%)	NT17AB3236 (100.00%)	NT20ABA3846 (100.00%)
NT08AB3884	NT16AB0173 (100.00%)		NT20ABA3847 (100.00%)
NT08AB3885	NT16AB0172 (100.00%)	NT17AB3237 (99.65%)	NT20ABA3848 (100.00%)
NT08AB3886	NT16AB0171 (100.00%)	NT17AB3238 (99.61%)	NT20ABA3849 (100.00%)
NT08AB3887	NT16AB0170 (99.82%)	NT17AB3239 (99.65%)	NT20ABA3850 (99.82%)
NT08AB3888	NT16AB0169 (100.00%)	NT17AB3240 (99.08%)	NT20ABA3851 (100.00%)
NT08AB3889	NT16AB0168 (99.55%)	NT17AB3241 (100.00%)	NT20ABA3852 (99.55%)
NT08AB3890	NT16AB0167 (100.00%)	NT17AB3242 (100.00%)	NT20ABA3853 (100.00%)
NT08AB3891	NT16AB0166 (100.00%)	NT17AB3243 (94.74%)	NT20ABA3854 (100.00%)
NT08AB3892	NT16AB0165 (99.25%)	NT17AB3244 (97.93%)	NT20ABA3855 (99.25%)
NT08AB3893	NT16AB0163 (99.16%)	NT17AB3246 (93.53%)	NT20ABA3856 (98.76%)
NT08AB3894			
NT08AB3895	NT16AB0162 (100.00%)	NT17AB3248 (98.95%)	NT20ABA3857 (100.00%)
NT08AB3897	NT16AB0160 (100.00%)		NT20ABA3859 (100.00%)
NT08AB3898	NT16AB0159 (98.49%)	NT17AB3252 (87.07%)	NT20ABA3860 (98.49%)
NT08AB3899	NT16AB0158 (100.00%)	NT17AB3253 (99.89%)	NT20ABA3861 (100.00%)
NT08AB3900	NT16AB0157 (100.00%)	NT17AB3254 (100.00%)	NT20ABA3862 (100.00%)
NT08AB3901	NT16AB0156 (98.97%)	NT17AB3255 (98.97%)	NT20ABA3863 (98.97%)
NT08AB3902	NT16AB0155 (99.33%)	NT17AB3256 (99.00%)	NT20ABA3865 (98.58%)
NT08AB3903	NT16AB0154 (100.00%)	NT17AB3257 (98.98%)	NT20ABA3866 (100.00%)
NT08AB3904	NT16AB0153 (100.00%)	NT17AB3258 (100.00%)	NT20ABA3867 (100.00%)
NT08AB3905	NT16AB0152 (99.65%)	NT17AB3259 (98.94%)	NT20ABA3868 (99.65%)
NT08AB3906	NT16AB0151 (99.35%)	NT17AB3260 (99.33%)	NT20ABA3869 (99.35%)
NT08AB3907	NT16AB0150 (100.00%)	NT17AB3261 (99.59%)	NT20ABA3870 (100.00%)
NT08AB3908	NT16AB0149 (99.18%)	NT17AB3262 (98.36%)	NT20ABA3871 (99.18%)
NT08AB3909	NT16AB0148 (99.68%)	NT17AB3263 (99.66%)	NT20ABA3872 (99.68%)
NT08AB3910	NT16AB0147 (100.00%)	NT17AB3264 (100.00%)	NT20ABA3873 (100.00%)
NT08AB3911	NT16AB0146 (99.29%)	NT17AB3268 (98.86%)	NT20ABA3874 (98.89%)
NT08AB3912			
NT08AB3913	NT16AB0145 (99.07%)	NT17AB3269 (99.54%)	NT20ABA3875 (99.07%)
NT08AB3914	NT16AB0144 (100.00%)	NT17AB3270 (100.00%)	NT20ABA3876 (100.00%)
NT08AB3915	NT16AB0142 (98.39%)	NT17AB3272 (99.19%)	NT20ABA3878 (98.39%)
NT08AB3916	NT16AB0143 (99.14%)	NT17AB3271 (98.08%)	NT20ABA3877 (99.14%)
NT08AB3917	NT16AB0141 (100.00%)	NT17AB3273 (100.00%)	NT20ABA3879 (100.00%)
NT08AB3918	NT16AB0140 (97.46%)	NT17AB3274 (97.74%)	NT20ABA3881 (97.46%)
NT08AB3919	NT16AB0139 (99.24%)	NT17AB3275 (98.87%)	NT20ABA3880 (99.24%)
NT08AB3920			
NT08AB3921	NT16AB0138 (99.61%)	NT17AB3276 (99.22%)	NT20ABA3882 (99.61%)
NT08AB3922	NT16AB0137 (100.00%)	NT17AB3277 (100.00%)	NT20ABA3883 (100.00%)
NT08AB3923	NT16AB0136 (100.00%)	NT17AB3278 (100.00%)	NT20ABA3884 (100.00%)
NT08AB3924	NT16AB0135 (99.38%)	NT17AB3279 (98.75%)	NT20ABA3885 (99.38%)
NT08AB3925	NT16AB0134 (100.00%)	NT17AB3280 (99.40%)	NT20ABA3886 (100.00%)
NT08AB3926	NT16AB0133 (98.13%)	NT17AB3281 (95.33%)	NT20ABA3887 (98.13%)
NT08AB3927	NT16AB0132 (98.90%)	NT17AB3282 (99.34%)	NT20ABA3888 (99.12%)
NT08AB3928	NT16AB0131 (97.51%)	NT17AB3283 (95.95%)	NT20ABA3889 (97.51%)
NT08AB3929	NT16AB0130 (100.00%)	NT17AB3287 (99.74%)	NT20ABA3890 (100.00%)
NT08AB3930	NT16AB0129 (98.51%)	NT17AB3288 (99.11%)	NT20ABA3891 (98.51%)
NT08AB3931	NT16AB0128 (96.41%)	NT17AB3289 (97.60%)	NT20ABA3892 (96.41%)
NT08AB3932	NT16AB0127 (98.89%)	NT17AB3293 (98.73%)	NT20ABA3893 (98.89%)
NT08AB3933	NT16AB0126 (99.38%)	NT17AB3294 (100.00%)	NT20ABA3894 (98.77%)
NT08AB3934	NT16AB0125 (99.55%)	NT17AB3295 (99.55%)	NT20ABA3895 (99.55%)
NT08AB3935	NT16AB0122 (70.83%)		
NT08AB3936			
NT08AB3937			
NT08AB3938	NT16AB0124 (82.57%)	NT17AB3296 (79.82%)	NT20ABA3896 (82.57%)
NT08AB3939			
NT08AB3940			
NT08AB3941			
NT08AB3942			
NT08AB3943	NT16AB0119 (99.39%)	NT17AB3300 (98.56%)	NT20ABA3901 (99.39%)
NT08AB3944	NT16AB0118 (99.42%)	NT17AB3301 (97.97%)	NT20ABA3902 (99.42%)
NT08AB3945			
NT08AB3946	NT16AB0117 (100.00%)	NT17AB3302 (99.12%)	NT20ABA3903 (100.00%)
NT08AB3947	NT16AB0116 (99.44%)	NT17AB3303 (98.32%)	NT20ABA3904 (99.44%)
NT08AB3948	NT16AB0115 (100.00%)	NT17AB3304 (98.93%)	NT20ABA3905 (100.00%)
NT08AB3949	NT16AB0114 (99.77%)	NT17AB3305 (99.54%)	NT20ABA3906 (99.54%)
NT08AB3950	NT16AB0113 (99.22%)	NT17AB3306 (97.84%)	NT20ABA3907 (99.22%)
NT08AB3951	NT16AB0112 (100.00%)	NT17AB3308 (99.56%)	NT20ABA3908 (100.00%)
NT08AB3952	NT16AB0111 (100.00%)	NT17AB3309 (99.64%)	NT20ABA3909 (100.00%)
NT08AB3953	NT16AB0110 (100.00%)	NT17AB3310 (99.55%)	NT20ABA3910 (100.00%)
NT08AB3954			
NT08AB3955	NT16AB0109 (100.00%)	NT17AB3311 (99.45%)	NT20ABA3911 (100.00%)
NT08AB3956	NT16AB0108 (99.78%)	NT17AB3312 (99.78%)	NT20ABA3912 (99.78%)
NT08AB3957	NT16AB0107 (96.98%)	NT17AB3314 (97.16%)	NT20ABA3913 (96.98%)
NT08AB3958	NT16AB0106 (99.65%)	NT17AB3315 (98.94%)	NT20ABA3914 (99.65%)
NT08AB3959	NT16AB0105 (100.00%)	NT17AB3316 (99.29%)	NT20ABA3915 (100.00%)
NT08AB3960	NT16AB0104 (100.00%)	NT17AB3317 (99.44%)	NT20ABA3916 (100.00%)
NT08AB3961		NT17AB3318 (98.65%)	
NT08AB3962		NT17AB3319 (99.36%)	
NT08AB3963	NT16AB0103 (95.92%)	NT17AB3320 (95.80%)	NT20ABA3917 (95.92%)
NT08AB3964	NT16AB0102 (99.37%)	NT17AB3358 (98.74%)	NT20ABA3918 (99.37%)
NT08AB3965	NT16AB0101 (100.00%)	NT17AB3357 (99.10%)	NT20ABA3919 (100.00%)
NT08AB3966	NT16AB0100 (100.00%)	NT17AB3356 (99.47%)	NT20ABA3920 (99.74%)
NT08AB3967	NT16AB0099 (99.77%)	NT17AB3355 (99.53%)	NT20ABA3921 (99.76%)
NT08AB3968	NT16AB0098 (99.73%)	NT17AB3354 (99.73%)	NT20ABA3922 (99.46%)
NT08AB3969	NT16AB0097 (100.00%)	NT17AB3353 (100.00%)	NT20ABA3923 (100.00%)
NT08AB3970	NT16AB0096 (100.00%)	NT17AB3352 (99.33%)	NT20ABA3924 (100.00%)
NT08AB3971	NT16AB0095 (99.02%)	NT17AB3351 (98.69%)	NT20ABA3925 (99.02%)
NT08AB3972	NT16AB0094 (100.00%)		NT20ABA3927 (100.00%)
NT08AB3973	NT16AB0093 (100.00%)	NT17AB3350 (99.03%)	NT20ABA3926 (100.00%)
NT08AB3974	NT16AB0092 (99.58%)	NT17AB3349 (99.58%)	NT20ABA3928 (99.58%)
NT08AB3975			
NT08AB3976	NT16AB0091 (99.68%)	NT17AB3348 (97.46%)	NT20ABA3929 (99.68%)
NT08AB3977			
NT08AB3978	NT16AB0087 (87.50%)		NT20ABA3936 (87.50%)
NT08AB3979			
NT08AB3980	NT16AB0086 (93.58%)	NT17AB3324 (94.34%)	NT20ABA3937 (92.83%)
NT08AB3981			
NT08AB3982	NT16AB0085 (91.51%)	NT17AB3323 (93.33%)	NT20ABA3938 (91.51%)
NT08AB3983	NT16AB0084 (97.93%)	NT17AB3360 (97.67%)	NT20ABA3939 (97.93%)
NT08AB3984			
NT08AB3985	NT16AB0083 (98.37%)	NT17AB3361 (98.69%)	NT20ABA3940 (98.37%)
NT08AB3986	NT16AB0082 (99.25%)	NT17AB3362 (99.23%)	NT20ABA3941 (99.00%)
NT08AB3987	NT16AB0081 (99.79%)	NT17AB3363 (99.57%)	NT20ABA3942 (99.79%)
NT08AB3988	NT16AB0080 (100.00%)	NT17AB3364 (99.61%)	NT20ABA3943 (100.00%)
NT08AB3989			
NT08AB3990	NT16AB0079 (99.77%)	NT17AB3365 (99.77%)	NT20ABA3944 (99.77%)
NT08AB3991	NT16AB0078 (98.43%)	NT17AB3366 (93.85%)	NT20ABA3945 (98.43%)
NT08AB3992	NT16AB0077 (99.20%)	NT17AB3367 (100.00%)	NT20ABA3946 (99.20%)
NT08AB3993	NT16AB0076 (94.32%)	NT17AB3368 (92.37%)	NT20ABA3947 (94.32%)
NT08AB3994	NT16AB0075 (99.29%)	NT17AB3371 (98.21%)	NT20ABA3948 (99.29%)
NT08AB3995	NT16AB0074 (98.68%)	NT17AB3372 (97.89%)	NT20ABA3949 (98.68%)
NT08AB3996	NT16AB0073 (100.00%)	NT17AB3373 (100.00%)	NT20ABA3950 (100.00%)
NT08AB3997	NT16AB0072 (99.77%)	NT17AB3374 (96.09%)	NT20ABA3951 (99.77%)
NT08AB3998	NT16AB0071 (98.88%)	NT17AB3375 (98.88%)	NT20ABA3952 (98.88%)
NT08AB3999	NT16AB0070 (100.00%)	NT17AB3376 (100.00%)	NT20ABA3953 (100.00%)
NT08AB4000	NT16AB0069 (100.00%)	NT17AB3377 (99.23%)	NT20ABA3954 (100.00%)
NT08AB4001	NT16AB0068 (100.00%)	NT17AB3378 (99.43%)	NT20ABA3955 (100.00%)
NT08AB4002	NT16AB0067 (96.79%)	NT17AB3379 (97.42%)	NT20ABA3956 (96.79%)
NT08AB4003	NT16AB0066 (97.32%)	NT17AB3381 (95.63%)	NT20ABA3957 (97.32%)
NT08AB4004	NT16AB0065 (99.36%)	NT17AB3384 (100.00%)	NT20ABA3958 (99.36%)
NT08AB4005	NT16AB0064 (100.00%)	NT17AB3385 (99.53%)	NT20ABA3959 (100.00%)
NT08AB4006	NT16AB0063 (100.00%)	NT17AB3386 (100.00%)	NT20ABA3960 (100.00%)
NT08AB4007	NT16AB0062 (100.00%)	NT17AB3387 (100.00%)	NT20ABA3961 (100.00%)
NT08AB4008	NT16AB0061 (100.00%)	NT17AB3388 (100.00%)	NT20ABA3962 (100.00%)
NT08AB4009			
NT08AB4010	NT16AB0060 (100.00%)		NT20ABA3963 (100.00%)
NT08AB4011	NT16AB0059 (98.21%)	NT17AB3390 (98.08%)	NT20ABA3964 (98.21%)
NT08AB4012	NT16AB0058 (99.76%)	NT17AB3392 (99.51%)	NT20ABA3965 (99.76%)
NT08AB4013	NT16AB0057 (94.93%)	NT17AB3393 (95.77%)	NT20ABA3966 (94.93%)
NT08AB4014	NT16AB0056 (99.34%)	NT17AB3394 (98.66%)	NT20ABA3967 (99.34%)
NT08AB4015	NT16AB0055 (100.00%)	NT17AB3396 (100.00%)	NT20ABA3968 (100.00%)
NT08AB4016	NT16AB0054 (100.00%)	NT17AB3397 (99.59%)	NT20ABA3969 (100.00%)
NT08AB4017	NT16AB0053 (100.00%)	NT17AB3398 (99.17%)	NT20ABA3970 (100.00%)
NT08AB4018	NT16AB0052 (98.83%)	NT17AB3399 (98.83%)	NT20ABA3971 (98.83%)
NT08AB4019	NT16AB0051 (97.39%)	NT17AB3400 (96.73%)	NT20ABA3972 (97.39%)
NT08AB4020	NT16AB0050 (100.00%)	NT17AB3401 (100.00%)	NT20ABA3973 (100.00%)
NT08AB4021	NT16AB0049 (98.39%)	NT17AB3402 (96.77%)	NT20ABA3974 (97.85%)
NT08AB4022	NT16AB0048 (99.12%)	NT17AB3403 (98.83%)	NT20ABA3975 (99.12%)
NT08AB4023	NT16AB0047 (98.95%)	NT17AB3404 (94.73%)	NT20ABA3977 (99.37%)
NT08AB4024	NT16AB0046 (97.50%)		NT20ABA3976 (100.00%)
NT08AB4025	NT16AB0045 (99.33%)	NT17AB3405 (99.33%)	NT20ABA3979 (99.67%)
NT08AB4026	NT16AB0044 (98.39%)	NT17AB3406 (97.58%)	NT20ABA3978 (96.47%)
NT08AB4027	NT16AB0043 (99.63%)	NT17AB3407 (98.88%)	NT20ABA3980 (99.25%)
NT08AB4028	NT16AB0042 (99.75%)	NT17AB3408 (99.18%)	NT20ABA3981 (98.99%)
NT08AB4029	NT16AB0041 (100.00%)	NT17AB3409 (99.54%)	NT20ABA3982 (100.00%)
NT08AB4030	NT16AB0040 (92.67%)	NT17AB3410 (99.63%)	NT20ABA3983 (92.67%)
NT08AB4031	NT16AB0039 (96.55%)	NT17AB3411 (87.07%)	NT20ABA3984 (96.55%)
NT08AB4032	NT16AB0038 (100.00%)	NT17AB3412 (100.00%)	NT20ABA3985 (100.00%)
NT08AB4033	NT16AB0037 (100.00%)	NT17AB3413 (99.20%)	NT20ABA3986 (100.00%)
NT08AB4034	NT16AB0036 (100.00%)	NT17AB3414 (98.60%)	NT20ABA3987 (100.00%)
NT08AB4035			
NT08AB4036	NT16AB0035 (99.70%)	NT17AB3415 (99.70%)	NT20ABA3988 (99.70%)
NT08AB4037	NT16AB0034 (97.58%)	NT17AB3416 (98.55%)	NT20ABA3989 (97.58%)
NT08AB4038	NT16AB0033 (99.89%)	NT17AB3417 (99.66%)	NT20ABA3990 (99.78%)
NT08AB4039	NT16AB0032 (99.19%)	NT17AB3419 (97.98%)	NT20ABA3991 (99.19%)
NT08AB4040			
NT08AB4041	NT16AB0031 (99.66%)	NT17AB3420 (98.22%)	NT20ABA3992 (99.66%)
NT08AB4042	NT16AB0030 (99.58%)	NT17AB3421 (97.13%)	NT20ABA3993 (99.58%)
NT08AB4043	NT16AB0029 (100.00%)	NT17AB3422 (99.77%)	NT20ABA3994 (100.00%)
NT08AB4044	NT16AB0028 (99.67%)	NT17AB3423 (99.83%)	NT20ABA3995 (99.84%)
NT08AB4045	NT16AB0027 (100.00%)	NT17AB3424 (97.50%)	NT20ABA3996 (99.38%)
NT08AB4046	NT16AB0026 (99.31%)	NT17AB3425 (98.55%)	NT20ABA3997 (98.62%)
NT08AB4047	NT16AB0025 (100.00%)	NT17AB3426 (100.00%)	NT20ABA3998 (100.00%)
NT08AB4048	NT16AB0024 (100.00%)	NT17AB3427 (100.00%)	NT20ABA3999 (99.80%)
NT08AB4049	NT16AB0023 (100.00%)		NT20ABA4000 (100.00%)
NT08AB4050	NT16AB0022 (99.57%)	NT17AB3429 (99.57%)	NT20ABA4001 (99.57%)
NT08AB4051	NT16AB0021 (97.52%)	NT17AB3430 (98.25%)	NT20ABA4002 (98.49%)
NT08ABA0001		NT17ABB0001 (69.03%)	
NT08ABA0002			
NT08ABA0003			
NT08ABA0004			
NT08ABA0005			
NT08ABA0006			
NT08ABA0007			
NT08ABA0008	NT16ABA0040 (98.24%)		
NT08ABA0009	NT16ABA0039 (100.00%)		
NT08ABA0010		NT17AB3326 (69.70%)	NT20ABA0291 (22.92%)
NT08ABA0011			
NT08ABA0012	NT16AB0370 (25.53%)		NT20ABA3650 (25.53%)
NT08ABA0013	NT16ABA0046 (92.75%)		
NT08ABA0014	NT16ABA0045 (98.00%)		
NT08ABA0015	NT16ABA0050 (95.76%)		
NT08ABA0016	NT16ABA0048 (75.51%)		
NT08ABA0017			
NT08ABB0001	NT16ABB0002 (100.00%)	NT17ABC0002 (65.03%)	NT20ABA4008 (100.00%)
NT08ABB0002	NT16ABB0003 (99.44%)	NT17ABA0002 (26.04%)	NT20ABA4009 (100.00%)
NT08ABB0003			
NT08ABB0004	NT16ABA0042 (85.19%)		
NT08ABB0005	NT16ABA0043 (95.88%)		
NT08ABB0006			
NT08ABB0007			
NT08ABB0008	NT16ABB0005 (100.00%)		NT20ABA4011 (100.00%)
NT08ABB0009	NT16ABB0006 (99.02%)		NT20ABA4012 (99.02%)
NT08ABB0010	NT16ABB0007 (98.38%)		NT20ABA4013 (98.38%)
NT08ABB0011			
NT08ABB0012	NT16ABB0009 (100.00%)		NT20ABA4015 (100.00%)
NT08ABB0013	NT16ABB0010 (84.21%)	NT17ABA0035 ( 0.00%)	NT20ABA4016 (84.21%)
	NT16AB0015		
	NT16AB0088	NT17ABA0018 (24.50%)	NT20ABA3935 (100.00%)
	NT16AB0089		NT20ABA3933 (99.84%)
	NT16AB0090		NT20ABA3932 (100.00%)
	NT16AB0120	NT17ABA0013 (34.15%)	NT20ABA3899 (100.00%)
	NT16AB0121		NT20ABA3898 (95.31%)
	NT16AB0123		NT20ABA3897 (100.00%)
	NT16AB0164		
	NT16AB0193		
	NT16AB0194		
	NT16AB0218		NT20ABA3803 (100.00%)
	NT16AB0230		NT20ABA3791 (99.22%)
	NT16AB0234		NT20ABA3787 (100.00%)
	NT16AB0235		NT20ABA3786 (100.00%)
	NT16AB0242		NT20ABA3778 (100.00%)
	NT16AB0269		NT20ABA3750 (100.00%)
	NT16AB0271		NT20ABA3748 (100.00%)
	NT16AB0355		
	NT16AB0371		NT20ABA3649 (100.00%)
	NT16AB0520		
	NT16AB0521		
	NT16AB0544	NT17AB1149 (33.43%)	NT20ABA2792 (33.72%)
	NT16AB0545		
	NT16AB0546		
	NT16AB0547		
	NT16AB0548		
	NT16AB0549		
	NT16AB0550		
	NT16AB0551		
	NT16AB0552	NT17AB2586 (35.90%)	
	NT16AB0553		
	NT16AB0554		
	NT16AB0556	NT17AB2591 (53.02%)	
	NT16AB0557		
	NT16AB0558		
	NT16AB0559		
	NT16AB0560		NT20ABA1307 (41.27%)
	NT16AB0561		
	NT16AB0562	NT17AB2597 (48.29%)	
	NT16AB0563	NT17AB2599 (51.00%)	
	NT16AB0564	NT17AB2600 (21.36%)	
	NT16AB0565	NT17AB2601 (44.34%)	
	NT16AB0566	NT17AB2602 (54.71%)	
	NT16AB0567	NT17AB2603 (65.18%)	
	NT16AB0568	NT17AB2604 (29.22%)	
	NT16AB0569	NT17AB2605 (38.26%)	
	NT16AB0570	NT17AB2606 (41.61%)	
	NT16AB0571	NT17AB2607 (46.02%)	
	NT16AB0572	NT17AB2608 (46.63%)	
	NT16AB0573	NT17AB2609 (46.67%)	
	NT16AB0574	NT17AB2610 (52.02%)	
	NT16AB0575	NT17AB2611 (74.64%)	
	NT16AB0576		
	NT16AB0577	NT17AB2612 (56.90%)	
	NT16AB0578	NT17AB2613 (56.52%)	
	NT16AB0579	NT17AB2614 (39.04%)	
	NT16AB0580	NT17AB2615 (37.12%)	
	NT16AB0581	NT17AB2616 (51.80%)	
	NT16AB0582	NT17AB2617 (48.01%)	
	NT16AB0583	NT17AB2618 (61.60%)	
	NT16AB0584	NT17AB2619 (50.94%)	
	NT16AB0595	NT17AB0508 (96.60%)	
	NT16AB0597	NT17AB0512 (96.49%)	
	NT16AB0683		NT20ABA3374 (100.00%)
	NT16AB0684		NT20ABA3373 (100.00%)
	NT16AB0753		NT20ABA3222 (100.00%)
